username,tweetcreatedts,text
kumparan,2023-02-27 09:38:36+00:00,"Urgensi masa jabatan kepala desa menjadi sembilan tahun, perlu atau tidak? #userstory https://t.co/wTx87sAmq9"
himipfisipunmul,2023-02-27 04:51:30+00:00,"[Press Release - Pojok Diskusi Umum (Podium) 1] 

Hello Gov-Fellas✨

Berikut adalah dokumentasi kegiatan Pojok Diskusi Umum oleh Departemen Kajian Keilmuan dengan Tema ""Perpanjangan Masa Jabatan Kepala Desa, Pengabdian atau Permainan Kekuasaan?""

#HimipSatcita
#HimipFisipUnmul https://t.co/ForuO2Pvtu"
imeth_j4,2023-02-27 00:29:15+00:00,Tolak Masa Jabatan Kepala Desa 9 Tahun! UU Desa Untuk Kemajuan dan Kesejahteraan Masyarakat Desa - Tandatangani Petisi! https://t.co/5088BkP6GN lewat @ChangeOrg_ID
Disuruh_Iben,2023-02-26 13:30:06+00:00,"Curhat Kepala Desa ke Cak Imin, Minta Tambah Dana Desa dan Masa Jabatan - https://t.co/dQuADDHis7 https://t.co/xG6pRjSpul #IndonesiaKuat #BangkitBersama"
PDbtrja,2023-02-25 01:52:42+00:00,"Masa jabatan Presiden&amp;Kepala Daerah dibatasi max 2 periode..
Kepala Desa max 3 periode..
Benarkah masa jabatan Anggota Dewan (DPR/DPD/DPRD) tidak di batasi???"
steropic,2023-02-25 00:30:09+00:00,"coba sebutin pro kontra kalian tentang ""masa jabatan kepala desa harus 9 tahun"""
fhunmul,2023-02-25 00:30:08+00:00,"Selamat pagi Pembelajar Hukum, JANGAN LEWATKAN !!! Edisi Terbaru Lamin Ilmu Podcast.
Lamin Ilmu Podcast #33: Menakar Perpanjangan Masa Jabatan Kepala Desa https://t.co/CCcbvidncj"
eytuharea,2023-02-24 14:29:19+00:00,"Sederhana, pahami konstitusi &amp; konstitusionalisme. Lalu berikan pendapat anda soal perpanjangan masa jabatan presiden maupun kepala desa?"
updesacom,2023-02-24 04:21:06+00:00,Gus Halim Usulkan Masa Jabatan Kepala Desa Diperpanjang Menjadi 9 Tahun https://t.co/ZXyWPwkBn1 https://t.co/IvpNZYhJJQ
JongJepara,2023-02-23 09:32:19+00:00,"@DPRDJepara @bupati_jepara @jeparakabgoid Yang kami hormati ketua DPRD Jepara juga harus mendukung hak konstitusional sebagian rakyat Jepara yang tidak setuju masa jabatan 9 tahun kepala desa dengan alasan yang beragam. 

#dprdjepara
#beritadprdjepara"
pattondonsalu_,2023-02-23 04:02:39+00:00,"SEMINAR NASIONAL ”KONTROVERSI PERPANJANGAN MASA JABATAN KEPALA DESA DARI PERSPEKTIF ILMU SOSIAL, POL
 https://t.co/vylOMTDdW2"
arini_sftr,2023-02-23 03:51:07+00:00,Membahas tentang isu permintaan perpanjangan masa jabatan kepala desa https://t.co/29H84PvZTH
NewsMotiva,2023-02-22 23:30:17+00:00,"Kalau memang ada wacana tuntutan masa jabatan kepala desa yang telah direvisi dari 6 Tahun menjadi 9 Tahun, dikembalikan  pada kebijakan Kepala Daerah maka sangatlah tepat, sebab secara kultur desa antara Jawa dan luar Jawa memang sangat berbeda termaauk pola pikir masyarakatnya. https://t.co/VPGTAhuRv0"
JunaediDjunaedi,2023-02-22 08:19:31+00:00,"kekuasaan yang langgeng agar ambisinya menciptakan dinasti jokowi terlindungi.
4.Darurat sipil bisa berjalan dgn diperanjangnya masa jabatan Kepala Desa selama 9 tahun &amp; Penunjukkan langsung Kepala Daerah oleh Mendagri."
dimplejoonah,2023-02-22 06:57:52+00:00,"@clooudbrain oh mungkin kkn nya itu menggantikan kepala desa yang udh habis masa jabatan ya, wdyt guys"
andry19633,2023-02-21 09:59:12+00:00,"Mahasiswa BEM-BEM se-Kalsel Bergolak, Bawa Tiga Tuntutan Utama: Tolak KUHP, Tolak Perpanjangaan Masa Jabatan Kepala Desa dan Isu Lainnya https://t.co/XiH81imTxk @RamliRizal https://t.co/rN86hj1yJn"
redberkalteng,2023-02-21 09:07:48+00:00,8 Kepala Desa di Paju Epat Akan Habis Masa Jabatan https://t.co/yFq8Ec2nMl
nagadaul,2023-02-21 02:02:48+00:00,@budimandjatmiko Setuju gak Mas Bud perihal permintaan perpanjangan masa jabatan Kepala Desa? 😁
DavidWijaya82,2023-02-20 04:33:53+00:00,"Sebaiknya diusul masa jabatan Kepala Desa itu seumur hidup atau sampai meninggal dunia; biar puas mengabdi tuk warga desa gitu 🤭

Selain Masa Jabatan 9 Tahun, Kepala Desa Indonesia Bersatu Juga Berharap Dana Desa Naik Jadi 5 Persen

Klik untuk baca: https://t.co/QoHe3OOjTD"
kompascom,2023-02-20 04:18:29+00:00,"Selain Masa Jabatan 9 Tahun, Kepala Desa Indonesia Bersatu Juga Berharap Dana Desa Naik Jadi 5 Persen

Baca di https://t.co/WWr9bvZwPq https://t.co/HkBgYnhGV3"
medcom_id,2023-02-20 04:17:15+00:00,"Para kepala desa diminta berhati-hati mengusulkan perubahan masa jabatan dari semula enam tahun menjadi sembilan tahun. Jika urgensi latar belakang tidak kuat, revisi dikhawatirkan merugikan mereka

https://t.co/7PgilDr40u"
detikcom,2023-02-19 14:18:15+00:00,Bamsoet menyinggung soal wacana revisi UU Nomor 6 Tahun 2014 terkait dengan masa jabatan kepala desa. https://t.co/yfTY8MG9ab
SaragihAmien,2023-02-19 09:03:15+00:00,"@budimandjatmiko @UUDesa tolak masa jabatan 9 tahun kades , korupsi kepala desa merajalela memang Sulit membuktikannya tapi itulh yg terjadi saat ini"
IlhamTriYubsir,2023-02-19 01:25:06+00:00,"Kebebasan mengemukakan pendapat adalah hak, namun jika tak berimbang dengan pikiran sehat intelektual tak berdasar terutama dalam perpanjangan masa jabatan kepala desa tsb menurut saya tak perlu di pertimbangkan apalagi di masukan dalam prolegnas 2023. #Cukupdengarkan saja"
Ki_Mupeng,2023-02-18 10:59:08+00:00,"@mirhan_sandy @mohmahfudmd Lah bangga dong jadi Menteri. Ditingkat desa aja jadi Kepala Desa pada bangga, malah ketagihan minta 9 thn masa jabatan tuh. 

Elu jd manusia bangga ga ? 
Ngeliat komen elu kayaknya emak bapak lu malu ngelahirin elu dah"
RomitsuT,2023-02-18 07:19:54+00:00,"Nah kepala desa kemarin minta tambah masa jabatan jadi 9 tahun.....jadikan seumur hidup atau minimal 20 tahun menjabat di Lapas.🤣🤣🤣

https://t.co/UVdAfrxMw9"
kompasiana,2023-02-18 06:08:05+00:00,Kontroversi Masa Jabatan Kepala Desa https://t.co/8zAdWsQBWi
jawapos,2023-02-17 16:51:52+00:00,Ratusan Kepala Desa Minta Masa Jabatan 9 Tahun ke DPD PDIP Jatim https://t.co/ykdMYKim9t
superradioid,2023-02-17 15:02:17+00:00,"SR, Surabaya - Ketua Badan Anggaran (Banggar) DPR RI Said Abdullah menegaskan, revisi UU Nomor 6 Tahun 2014 tentang Desa terkait wacana perpanjangan masa jabatan kepala desa dari enam tahun menjadi sembilan tahun dalam satu periode akan masuk Prolegnas

https://t.co/L1VFA6FLd6"
0x6ab0nku,2023-02-17 14:29:02+00:00,"Baru kemarin ribut soal perpanjangan masa jabatan Kepala Desa menjadi 10 tahun. Sekarang Kepala Desa minta anggaran Dana Desa naik 5% - 10% perkiraan 10 M. Yang 1 milyar banyak Korupsi nya apalagi yg 10 M ...ck ck ck ck
Banyak kali orang pengen korupsi
@TsamaraDKI https://t.co/Mzj8RPRy0X"
bagiartaketut,2023-02-17 14:24:05+00:00,"Kurang 12 cm...
Tapi yg lebih urgent dikurangi adalah PT20% jadi 0% oleh @officialMKRI 
Perlu dikurangi/ diatur juga masa jabatan ketum partai! Juga masjab kepala desa dikurangi, bukan ditambah!"
Muhamma22139702,2023-02-17 02:27:34+00:00,"Ingat 9 tahun masa jabatan dlm 1 periode? 😂

Ramai-ramai Kepala Desa di Sulsel Kembalikan Uang Gratifikasi

https://t.co/LLCCI3AB0k"
Mahasiswa_IDN,2023-02-17 02:04:48+00:00,"Pro Kontra Usulan Masa Jabatan Kepala Desa (Kades) 9 Tahun Dikalangan Masyarakat Indonesia
#prokontra #usulan #masajabatan #KepalaDesa #Kades #9tahun #masyarakatIndonesia #MahasiswaIndonesia 

https://t.co/PbIsm46lF6"
kepanjen_kita,2023-02-15 14:13:19+00:00,"Bahas soal kepala daerah lagi
Terutama soal urgensi masa jabatan 9 tahun 3 periode

Seberapa kalian mengenal kepala desa kalian

Pertanyaan pertama :
Tau NAMA KEPALA DESA mu nggak?"
Official_IPRC,2023-02-15 07:56:47+00:00,Bagaimana menurutmu tuntutan dari perpanjangan masa jabatan kepala desa? :) https://t.co/BQXS2nAhfh
