username,tweetcreatedts,text,cleansing,case folding,normalisasi,tokenizing,filtering,stemming,tweet_english,Score,label_class
kumparan,2023-02-27 09:38:36+00:00,"Urgensi masa jabatan kepala desa menjadi sembilan tahun, perlu atau tidak? #userstory https://t.co/wTx87sAmq9",Urgensi masa jabatan kepala desa menjadi sembilan tahun perlu atau tidak,urgensi masa jabatan kepala desa menjadi sembilan tahun perlu atau tidak,urgensi masa jabatan kepala desa menjadi sembilan tahun perlu atau tidak,"['urgensi', 'masa', 'jabatan', 'kepala', 'desa', 'menjadi', 'sembilan', 'tahun', 'perlu', 'atau', 'tidak']","['urgensi', 'jabatan', 'kepala', 'desa', 'sembilan']","['urgensi', 'jabat', 'kepala', 'desa', 'sembilan']","['urgency', 'shadow', 'head', 'village', 'nine']",0.0,Netral
himipfisipunmul,2023-02-27 04:51:30+00:00,"[Press Release - Pojok Diskusi Umum (Podium) 1] 

Hello Gov-Fellas✨

Berikut adalah dokumentasi kegiatan Pojok Diskusi Umum oleh Departemen Kajian Keilmuan dengan Tema ""Perpanjangan Masa Jabatan Kepala Desa, Pengabdian atau Permainan Kekuasaan?""

#HimipSatcita
#HimipFisipUnmul https://t.co/ForuO2Pvtu",Press Release Pojok Diskusi Umum Podium Hello Gov Fellas Berikut adalah dokumentasi kegiatan Pojok Diskusi Umum oleh Departemen Kajian Keilmuan dengan Tema Perpanjangan Masa Jabatan Kepala Desa Pengabdian atau Permainan Kekuasaan,press release pojok diskusi umum podium hello gov fellas berikut adalah dokumentasi kegiatan pojok diskusi umum oleh departemen kajian keilmuan dengan tema perpanjangan masa jabatan kepala desa pengabdian atau permainan kekuasaan,press release pojok diskusi umum podium hello gov fellas berikut adalah dokumentasi kegiatan pojok diskusi umum oleh departemen kajian keilmuan dengan tema perpanjangan masa jabatan kepala desa pengabdian atau permainan kekuasaan,"['press', 'release', 'pojok', 'diskusi', 'umum', 'podium', 'hello', 'gov', 'fellas', 'berikut', 'adalah', 'dokumentasi', 'kegiatan', 'pojok', 'diskusi', 'umum', 'oleh', 'departemen', 'kajian', 'keilmuan', 'dengan', 'tema', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa', 'pengabdian', 'atau', 'permainan', 'kekuasaan']","['press', 'release', 'pojok', 'diskusi', 'podium', 'hello', 'gov', 'fellas', 'dokumentasi', 'kegiatan', 'pojok', 'diskusi', 'departemen', 'kajian', 'keilmuan', 'tema', 'perpanjangan', 'jabatan', 'kepala', 'desa', 'pengabdian', 'permainan', 'kekuasaan']","['press', 'release', 'pojok', 'diskusi', 'podium', 'hello', 'gov', 'fellas', 'dokumentasi', 'giat', 'pojok', 'diskusi', 'departemen', 'kaji', 'ilmu', 'tema', 'panjang', 'jabat', 'kepala', 'desa', 'abdi', 'main', 'kuasa']","['press', 'release', 'corner', 'discussion', 'podium', 'hello', 'gov', 'fellas', 'documentation', 'enterprise', 'corner', 'discussion', ' department', 'study', 'science', 'theme', 'long', 'position', 'head', 'village', 'servant', 'play', 'power']",0.34,Positif
imeth_j4,2023-02-27 00:29:15+00:00,Tolak Masa Jabatan Kepala Desa 9 Tahun! UU Desa Untuk Kemajuan dan Kesejahteraan Masyarakat Desa - Tandatangani Petisi! https://t.co/5088BkP6GN lewat @ChangeOrg_ID,Tolak Masa Jabatan Kepala Desa Tahun UU Desa Untuk Kemajuan dan Kesejahteraan Masyarakat Desa Tandatangani Petisi lewat,tolak masa jabatan kepala desa tahun uu desa untuk kemajuan dan kesejahteraan masyarakat desa tandatangani petisi lewat,tolak masa jabatan kepala desa tahun uu desa untuk kemajuan dan kesejahteraan masyarakat desa tandatangani petisi lewat,"['tolak', 'masa', 'jabatan', 'kepala', 'desa', 'tahun', 'uu', 'desa', 'untuk', 'kemajuan', 'dan', 'kesejahteraan', 'masyarakat', 'desa', 'tandatangani', 'petisi', 'lewat']","['tolak', 'jabatan', 'kepala', 'desa', 'uu', 'desa', 'kemajuan', 'kesejahteraan', 'masyarakat', 'desa', 'tandatangani', 'petisi']","['tolak', 'jabat', 'kepala', 'desa', 'uu', 'desa', 'maju', 'sejahtera', 'masyarakat', 'desa', 'tandatangani', 'petisi']","['reject', 'position', 'head', 'village', 'uu', 'village', 'forward', 'prosperous', 'community', 'village', 'sign', 'petition']",0.1027,Positif
Disuruh_Iben,2023-02-26 13:30:06+00:00,"Curhat Kepala Desa ke Cak Imin, Minta Tambah Dana Desa dan Masa Jabatan - https://t.co/dQuADDHis7 https://t.co/xG6pRjSpul #IndonesiaKuat #BangkitBersama",Curhat Kepala Desa ke Cak Imin Minta Tambah Dana Desa dan Masa Jabatan,curhat kepala desa ke cak imin minta tambah dana desa dan masa jabatan,curhat kepala desa ke cak imin meminta tambah dana desa dan masa jabatan,"['curhat', 'kepala', 'desa', 'ke', 'cak', 'imin', 'meminta', 'tambah', 'dana', 'desa', 'dan', 'masa', 'jabatan']","['curhat', 'kepala', 'desa', 'cak', 'imin', 'dana', 'desa', 'jabatan']","['curhat', 'kepala', 'desa', 'cak', 'imin', 'dana', 'desa', 'jabat']","['chat', 'head', 'village', 'cak', 'imin', 'fund', 'village', 'shape']",0.0,Netral
PDbtrja,2023-02-25 01:52:42+00:00,"Masa jabatan Presiden&amp;Kepala Daerah dibatasi max 2 periode..
Kepala Desa max 3 periode..
Benarkah masa jabatan Anggota Dewan (DPR/DPD/DPRD) tidak di batasi???",Masa jabatan Presiden amp Kepala Daerah dibatasi max periode Kepala Desa max periode Benarkah masa jabatan Anggota Dewan DPR DPD DPRD tidak di batasi,masa jabatan presiden amp kepala daerah dibatasi max periode kepala desa max periode benarkah masa jabatan anggota dewan dpr dpd dprd tidak di batasi,masa jabatan presiden amp kepala daerah dibatasi max periode kepala desa max periode benarkah masa jabatan anggota dewan dpr dpd dprd tidak di batasi,"['masa', 'jabatan', 'presiden', 'amp', 'kepala', 'daerah', 'dibatasi', 'max', 'periode', 'kepala', 'desa', 'max', 'periode', 'benarkah', 'masa', 'jabatan', 'anggota', 'dewan', 'dpr', 'dpd', 'dprd', 'tidak', 'di', 'batasi']","['jabatan', 'presiden', 'amp', 'kepala', 'daerah', 'dibatasi', 'max', 'periode', 'kepala', 'desa', 'max', 'periode', 'jabatan', 'anggota', 'dewan', 'dpr', 'dpd', 'dprd', 'batasi']","['jabat', 'presiden', 'amp', 'kepala', 'daerah', 'batas', 'max', 'periode', 'kepala', 'desa', 'max', 'periode', 'jabat', 'anggota', 'dewan', 'dpr', 'dpd', 'dprd', 'batas']","['position', 'president', 'amp', 'head', 'area', 'limit', 'max', 'period', 'head', 'village', 'max', 'period',' position', 'member', 'council', 'dpr', 'DPD', 'DPRD', 'limit']",0.0,Netral
steropic,2023-02-25 00:30:09+00:00,"coba sebutin pro kontra kalian tentang ""masa jabatan kepala desa harus 9 tahun""",coba sebutin pro kontra kalian tentang masa jabatan kepala desa harus tahun,coba sebutin pro kontra kalian tentang masa jabatan kepala desa harus tahun,coba sebutin pro kontra kalian tentang masa jabatan kepala desa harus tahun,"['coba', 'sebutin', 'pro', 'kontra', 'kalian', 'tentang', 'masa', 'jabatan', 'kepala', 'desa', 'harus', 'tahun']","['coba', 'sebutin', 'pro', 'kontra', 'jabatan', 'kepala', 'desa']","['coba', 'sebutin', 'pro', 'kontra', 'jabat', 'kepala', 'desa']","['try', 'mention', 'pros', 'cons', 'position', 'head', 'village']",0.0,Netral
fhunmul,2023-02-25 00:30:08+00:00,"Selamat pagi Pembelajar Hukum, JANGAN LEWATKAN !!! Edisi Terbaru Lamin Ilmu Podcast.
Lamin Ilmu Podcast #33: Menakar Perpanjangan Masa Jabatan Kepala Desa https://t.co/CCcbvidncj",Selamat pagi Pembelajar Hukum JANGAN LEWATKAN Edisi Terbaru Lamin Ilmu Podcast Lamin Ilmu Podcast Menakar Perpanjangan Masa Jabatan Kepala Desa,selamat pagi pembelajar hukum jangan lewatkan edisi terbaru lamin ilmu podcast lamin ilmu podcast menakar perpanjangan masa jabatan kepala desa,selamat pagi pembelajar hukum jangan lewatkan edisi terbaru lamin ilmu podcast lamin ilmu podcast menakar perpanjangan masa jabatan kepala desa,"['selamat', 'pagi', 'pembelajar', 'hukum', 'jangan', 'lewatkan', 'edisi', 'terbaru', 'lamin', 'ilmu', 'podcast', 'lamin', 'ilmu', 'podcast', 'menakar', 'perpanjangan', 'masa', 'jabatan', 'kepala', 'desa']","['selamat', 'pagi', 'pembelajar', 'hukum', 'lewatkan', 'edisi', 'terbaru', 'lamin', 'ilmu', 'podcast', 'lamin', 'ilmu', 'podcast', 'menakar', 'perpanjangan', 'jabatan', 'kepala', 'desa']","['selamat', 'pagi', 'ajar', 'hukum', 'lewat', 'edisi', 'baru', 'lamin', 'ilmu', 'podcast', 'lamin', 'ilmu', 'podcast', 'takar', 'panjang', 'jabat', 'kepala', 'desa']","['good morning', 'teaching', 'law', 'passing', 'edition', 'new', 'lamin', 'science', 'podcast', 'lamin', 'science', ' podcast', 'measure', 'long', 'shake', 'head', 'village']",0.296,Positif
eytuharea,2023-02-24 14:29:19+00:00,"Sederhana, pahami konstitusi &amp; konstitusionalisme. Lalu berikan pendapat anda soal perpanjangan masa jabatan presiden maupun kepala desa?",Sederhana pahami konstitusi amp konstitusionalisme Lalu berikan pendapat anda soal perpanjangan masa jabatan presiden maupun kepala desa,sederhana pahami konstitusi amp konstitusionalisme lalu berikan pendapat anda soal perpanjangan masa jabatan presiden maupun kepala desa,sederhana pahami konstitusi amp konstitusionalisme lalu berikan pendapat anda soal perpanjangan masa jabatan presiden maupun kepala desa,"['sederhana', 'pahami', 'konstitusi', 'amp', 'konstitusionalisme', 'lalu', 'berikan', 'pendapat', 'anda', 'soal', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'maupun', 'kepala', 'desa']","['sederhana', 'pahami', 'konstitusi', 'amp', 'konstitusionalisme', 'pendapat', 'perpanjangan', 'jabatan', 'presiden', 'kepala', 'desa']","['sederhana', 'paham', 'konstitusi', 'amp', 'konstitusionalisme', 'dapat', 'panjang', 'jabat', 'presiden', 'kepala', 'desa']","['simple', 'understand', 'constitution', 'amp', 'constitutionalism', 'can', 'long', 'position', 'president', 'head', 'village']",0.0,Netral
updesacom,2023-02-24 04:21:06+00:00,Gus Halim Usulkan Masa Jabatan Kepala Desa Diperpanjang Menjadi 9 Tahun https://t.co/ZXyWPwkBn1 https://t.co/IvpNZYhJJQ,Gus Halim Usulkan Masa Jabatan Kepala Desa Diperpanjang Menjadi Tahun,gus halim usulkan masa jabatan kepala desa diperpanjang menjadi tahun,gus halim usulkan masa jabatan kepala desa diperpanjang menjadi tahun,"['gus', 'halim', 'usulkan', 'masa', 'jabatan', 'kepala', 'desa', 'diperpanjang', 'menjadi', 'tahun']","['gus', 'halim', 'usulkan', 'jabatan', 'kepala', 'desa', 'diperpanjang']","['gus', 'halim', 'usul', 'jabat', 'kepala', 'desa', 'panjang']","['gus', 'halim', 'proposal', 'position', 'head', 'village', 'long']",0.0,Netral
JongJepara,2023-02-23 09:32:19+00:00,"@DPRDJepara @bupati_jepara @jeparakabgoid Yang kami hormati ketua DPRD Jepara juga harus mendukung hak konstitusional sebagian rakyat Jepara yang tidak setuju masa jabatan 9 tahun kepala desa dengan alasan yang beragam. 

#dprdjepara
#beritadprdjepara",Yang kami hormati ketua DPRD Jepara juga harus mendukung hak konstitusional sebagian rakyat Jepara yang tidak setuju masa jabatan tahun kepala desa dengan alasan yang beragam,yang kami hormati ketua dprd jepara juga harus mendukung hak konstitusional sebagian rakyat jepara yang tidak setuju masa jabatan tahun kepala desa dengan alasan yang beragam,yang kami hormati ketua dprd jepara juga harus mendukung hak konstitusional sebagian rakyat jepara yang tidak setuju masa jabatan tahun kepala desa dengan alasan yang beragam,"['yang', 'kami', 'hormati', 'ketua', 'dprd', 'jepara', 'juga', 'harus', 'mendukung', 'hak', 'konstitusional', 'sebagian', 'rakyat', 'jepara', 'yang', 'tidak', 'setuju', 'masa', 'jabatan', 'tahun', 'kepala', 'desa', 'dengan', 'alasan', 'yang', 'beragam']","['hormati', 'ketua', 'dprd', 'jepara', 'mendukung', 'hak', 'konstitusional', 'rakyat', 'jepara', 'setuju', 'jabatan', 'kepala', 'desa', 'alasan', 'beragam']","['hormat', 'ketua', 'dprd', 'jepara', 'dukung', 'hak', 'konstitusional', 'rakyat', 'jepara', 'tuju', 'jabat', 'kepala', 'desa', 'alas', 'agam']","['respect', 'chairman', 'DPRD', 'Jepara', 'support', 'rights', 'constitutional', 'people', 'jepara', 'goal', 'position', 'head', ' village', 'alas', 'religion']",0.5719,Positif
