text,text bersih,label,label manual,,,jumlah true,33
"Dari mana asalnya ide perpanjangan masa jabatan kepala desa ini? 

Baca: https://t.co/ZsF4Qgq7Em https://t.co/NgPnnWjPYE",asal ide panjang jabat kepala desa baca,Netral,Netral,1,,jumlah false,17
"Dukung Menteri Desa 
untuk masa Jabatan Kepala Desa 9 tahun 
@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa 
@azzameldzikrie 
@tppkemendes https://t.co/gb0NigWvwE",dukung menteri desa jabat kepala desa,Positif,Positif,1,,,
"Dalam kubur masih menjabat 

Apdesi Minta Masa Jabatan Kepala Desa Bisa Sampai 27 Tahun https://t.co/pVK0Qiewpi",kubur jabat apdesi jabat kepala desa,Negative,Negative,1,,persentase benar,0.66
"F PkB sepakat revisi uu desa 
Bahwa kepala desa masa jabatan 
09 Tahun. https://t.co/zzcL3krhFG",pkb sepakat revisi uu desa kepala desa jabat,Positif,Positif,1,,,
"Secara logika yang berkepentingan demo perpanjangan masa jabatan kepala desa itu seharusnya para warga desa seluruh Indonesia
Apakah nanti para kepala daerah akan demo juga untuk minta perpanjangan masa jabatan mereka?",logika ting demo panjang jabat kepala desa warga desa indonesia kepala daerah demo panjang jabat,Negative,Negative,1,,,
"Nah, kalau kepala desa ini minta perpanjangan masa jabatan 9 tahun kasih aja, sebagai Kepala Desa Tahanan...😁",kepala desa panjang jabat kasih kepala desa tahan,Positif,Negative,0,,,
"Perpanjangan Masa Jabatan Kepala Desa Disorot, Perpanjangan Tangan Oligarki? 
Butuh Islam kaffah
Serba serbi MMC
https://t.co/QpxORMQTrT",panjang jabat kepala desa sorot panjang tangan oligarki butuh islam kaffah serba serbi mmc,Positif,Netral,0,,,
Alasan Mengapa Harus Menolak Wacana Perpanjangan Masa Jabatan Kepala Desa https://t.co/Jkt0cdhW5Y,alas tolak wacana panjang jabat kepala desa,Negative,Netral,0,,,
"Terima Kepala Desa se-Indonesia, F-PKB Siap Perjuangkan Masa Jabatan Kades 9 Tahun

PKB Untuk Desa
Gus Muhaimin https://t.co/hyBd44DUgS",terima kepala desa indonesia pkb juang jabat kades pkb desa gus muhaimin,Positif,Positif,1,,,
"Ribuan Kepala Desa Demo di DPR Tuntut Perpanjangan Masa Jabatan hari ini, Rabu 18/01/2023.
__

Sebagai informasi buat para Kepala Desa bahwa Presiden Jokowi menyetujui tuntutan para Kades atas perpanjangan masa jabatan.
__
Pasti pak Jokowi dirayu sama Mas @budimandjatmiko 😁 https://t.co/GlmoKTfS9j",ribu kepala desa demo dpr tuntut panjang jabat rabu informasi kepala desa presiden jokowi tuju tuntut kades panjang jabat jokowi rayu mas,Positif,Positif,1,,,
"Apdesi minta masa jabatan kades sampai 27 tahun.  Asosiasi Pemerintah Desa Seluruh Indonesia (Apdesi) meminta agar masa jabatan kepala desa tidak hanya diubah menjadi  9 tahun tapi  juga bisa menjabat hingga 27 tahun atau tiga periode

https://t.co/weBtYVmcZW",apdesi jabat kades asosiasi perintah desa indonesia apdesi jabat kepala desa ubah jabat periode,Netral,Netral,1,,,
"Kami Mendukung Menteri Desa Dalam Memperjuangkan Masa Jabatan Kepala Desa Menjadi 9 Tahun 
@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa 
@azzameldzikrie 
@tppkemendes",dukung menteri desa juang jabat kepala desa,Netral,Positif,0,,,
"Perkumpulan Pemerintah Desa Seluruh Indonesia (PAPDESI) menyebut ada pihak yang sengaja mengambil keuntungan dengan mempolitisasi revisi terbatas Undang-undang Desa Nomor 6/2014. Pasalnya, mereka hanya memfokuskan revisi itu hanya pada perpanjangan masa jabatan kepala desa. https://t.co/lId6SumeRk",kumpul perintah desa indonesia papdesi sebut sengaja ambil untung politisasi revisi batas undang undang desa nomor pasal fokus revisi panjang jabat kepala desa,Positif,Negative,0,,,
"Usulan perubahan masa jabatan kepala desa https://t.co/OzObbTnIzv 

@Kemenkumham_RI @bhp_semarang #bhpsemarang #KumhamPasti #KumhamSemakinPasti #kamipasti #kumham #Kemenkumham #kemenkumhamri #kumhamproduktif #berita #Twitter #BreakingNews #socialmedia #desa #jateng #viral",usul ubah jabat kepala desa,Netral,Netral,1,,,
@budimandjatmiko Wacana perpanjangan masa jabatan kepala desa lebih banyak mudorotnya dan berpotensi mematikan demokrasi daripada kuantumnya pak bud. Ngapain yang kayak gitu diaspirasikan?,wacana panjang jabat kepala desa mudorotnya potensi mati demokrasi kuantum bud kapai kayak aspirasi,Negative,Negative,1,,,
PKB SUDAH RESMI MEMBERIKAN DUKUNGAN MASA JABATAN KEPALA DESA MENJADI 9 TAHUN https://t.co/XHxzVSK5Du,pkb resmi dukung jabat kepala desa,Positif,Positif,1,,,
"Kepala Desa adalah ujung tombak dari penyelnggara pemerintahan dalam bingkai NKRI dan merupakan penyelanggara perintahan paling pinggiran, karna itu wajar kalau masa jabatan di refisi
#PKB_Bersama Kades
#Gus_Muhaimin https://t.co/ItkXIzXdvh",kepala desa ujung tombak penyelnggara perintah bingkai nkri penyelanggara perintah pinggir wajar jabat refisi kades,Netral,Netral,1,,,
"Pantaslah APDESI minta tambah masa jabatan.
Timbal balik nya jika jabatan 9 tahun didapat.
Diduga Kepala Desa akan diarahkan untuk menggerakkan warga nya supaya memilih calon presiden tertentu.

Ternyata Luhut Jabat Dewan Pembina APDESI Sejak 6 Bulan Lalu https://t.co/Fiv7Przvtw",pantas apdesi jabat timbal nya jabat duga kepala desa arah gerak warga nya pilih calon presiden luhut jabat dewan bina apdesi,Negative,Negative,1,,,
